Fighter1,Fighter2,Win,Draw,Loss
Cherneka Johnson,Ellie Scotney,3.5,16.0,0.2
Dennis Hogan,James Metcalf,1.5,16.0,0.7272727272727273
Terri Harper,Cecelia Braekhus,0.2222222222222222,16.0,4.0
Katie Taylor,Chantelle Cameron,0.6153846153846154,16.0,1.625
Raymond Muratalla,Jeremia Nakathila,0.5333333333333333,16.0,1.875
Oscar Valdez,Adam Lopez,0.1111111111111111,25.0,8.0
Devin Haney,Vasyl Lomachenko,0.4444444444444444,18.0,2.25
Junto Nakatani,Andrew Moloney,0.3333333333333333,20.0,3.5
Nikita Tszyu,Benjamin Bommber,0.0625,22.0,9.0
Joseph Parker,Faiga Opelu,0.08333333333333333,25.0,6.75
Jack Catterall,Darragh Foley,0.07142857142857142,25.0,7.25
Lawrence Okolie,Chris Billam-Smith,0.3333333333333333,25.0,2.8
Luis Alberto Lopez,Michael Conlan,1.1,16.0,0.95
Mauricio Lara,Leigh Wood,0.4,18.0,2.5
Sunny Edwards,Andres Campos,0.0625,25.0,9.0
Josh Taylor,Teofimo Lopez,0.6666666666666666,18.0,1.4545454545454546
Liam Smith,Chris Eubank Jr,0.8,20.0,1.3
Regis Prograis,Liam Paro,0.16666666666666666,20.0,4.0
Tim Tszyu,Carlos Ocampo,0.2,20.0,4.5
Errol Spence Jr,Terence Crawford,1.1538461538461537,16.0,0.9090909090909091
Naoya Inoue,Stephen Fulton,0.4,20.0,2.5
Franchon Crews Dezurn,Savannah Marshall,2.75,16.0,0.2857142857142857
Dalton Smith,Sam Maxwell,0.125,16.0,5.0
Jared Anderson,Zhan Kossbutskiy,0.16666666666666666,16.0,3.5
Jake Paul,Nate Diaz,0.4,15.0,3.0
Dmitrii Bivol,Saul Alvarez,0.5333333333333333,16.0,1.5
Floyd Mayweather,Conor McGregor,0.14285714285714285,10.0,5.0
Tommy Fury,Jake Paul,1428.5714285714287,12.0,1.5
